TRIP_ID	SPECIES	SITE	SHORE	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	N_PASS
GC20090709	FHM	1	BW	36	7	3	1	0	NA	NA	NA	NA	NA	NA	5
GC20090709	HBC	1	BW	1	1	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20090709	FMS	1	BW	2	1	1	0	0	NA	NA	NA	NA	NA	NA	5
GC20090709	SPD	1	BW	1	0	1	0	0	NA	NA	NA	NA	NA	NA	5
GC20090709	FMS	2	BW	15	0	1	0	NA	NA	NA	NA	NA	NA	NA	4
GC20090709	SPD	2	BW	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	4
GC20090709	FHM	2	BW	25	2	0	1	NA	NA	NA	NA	NA	NA	NA	4
GC20090709	HBC	2	BW	10	3	0	0	NA	NA	NA	NA	NA	NA	NA	4
GC20090812	BHS	1	BW	26	11	3	2	2	NA	NA	NA	NA	NA	NA	5
GC20090812	HBC	1	BW	1	0	1	2	0	NA	NA	NA	NA	NA	NA	5
GC20090812	SPD	1	BW	6	1	3	0	0	NA	NA	NA	NA	NA	NA	5
GC20090812	FHM	1	BW	22	5	2	0	5	NA	NA	NA	NA	NA	NA	5
GC20090812	RSH	1	BW	3	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20090812	FMS	1	BW	2	1	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20090812	FHM	2	BW	20	26	1	3	0	NA	NA	NA	NA	NA	NA	5
GC20090812	FMS	2	BW	15	10	0	3	1	NA	NA	NA	NA	NA	NA	5
GC20090812	PKF	2	BW	1	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20090812	BHS	2	BW	4	9	1	2	0	NA	NA	NA	NA	NA	NA	5
GC20090812	HBC	2	BW	0	1	1	0	0	NA	NA	NA	NA	NA	NA	5
GC20090812	SPD	2	BW	5	4	0	0	2	NA	NA	NA	NA	NA	NA	5
GC20090812	RSH	2	BW	1	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20090812	HBC	3	BW	1	0	0	0	1	NA	NA	NA	NA	NA	NA	5
GC20090812	FHM	3	BW	27	20	3	0	13	NA	NA	NA	NA	NA	NA	5
GC20090812	BHS	3	BW	17	5	2	1	12	NA	NA	NA	NA	NA	NA	5
GC20090812	FMS	3	BW	2	0	0	0	1	NA	NA	NA	NA	NA	NA	5
GC20090812	SPD	3	BW	2	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20090905	SUC	1	BW	37	35	9	5	9	8	1	0	NA	NA	NA	8
GC20090905	FMS	1	BW	54	4	0	0	0	0	0	0	NA	NA	NA	8
GC20090905	SPD	1	BW	26	18	6	5	5	0	0	2	NA	NA	NA	8
GC20090905	BHS	1	BW	184	36	7	5	2	3	0	0	NA	NA	NA	8
GC20090905	FHM	1	BW	387	104	50	33	16	27	6	2	NA	NA	NA	8
GC20090905	PKF	1	BW	0	0	0	1	1	1	1	0	NA	NA	NA	8
GC20090905	BHS	2	BW	23	3	0	1	NA	NA	NA	NA	NA	NA	NA	4
GC20090905	SPD	2	BW	12	1	0	0	NA	NA	NA	NA	NA	NA	NA	4
GC20090905	PKF	2	BW	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	4
GC20090905	FHM	2	BW	15	10	1	0	NA	NA	NA	NA	NA	NA	NA	4
GC20090905	FMS	2	BW	4	2	0	0	NA	NA	NA	NA	NA	NA	NA	4
GC20090905	HBC	3	BW	2	4	2	0	0	NA	NA	NA	NA	NA	NA	5
GC20090905	FHM	3	BW	32	129	32	2	0	NA	NA	NA	NA	NA	NA	5
GC20090905	RSH	3	BW	1	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20090905	BHS	3	BW	26	22	3	0	0	NA	NA	NA	NA	NA	NA	5
GC20090905	SPD	3	BW	6	7	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20090905	FMS	3	BW	7	7	12	1	5	NA	NA	NA	NA	NA	NA	5
GC20090905	FHM	4	BW	26	3	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20090905	HBC	4	BW	1	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20090905	SPD	4	BW	4	2	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20090905	BHS	4	BW	16	4	1	0	0	NA	NA	NA	NA	NA	NA	5
GC20091012	SPD	1	BW	2	0	0	0	0	0	0	0	0	0	0	11
GC20091012	PKF	1	BW	0	2	0	0	0	0	0	0	0	0	0	11
GC20091012	FHM	1	BW	12	9	34	42	12	9	25	3	5	1	0	11
GC20091012	BHS	2	BW	4	2	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20091012	HBC	2	BW	1	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20091012	FHM	2	BW	168	8	0	1	0	NA	NA	NA	NA	NA	NA	5
GC20091012	FMS	2	BW	4	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20091012	SPD	2	BW	6	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20091012	BHS	3	BW	1	1	1	1	0	NA	NA	NA	NA	NA	NA	5
GC20091012	FHM	3	BW	157	8	2	2	0	NA	NA	NA	NA	NA	NA	5
GC20091012	PKF	3	BW	2	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20100710	BHS	1	BW	6	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20100710	HBC	1	BW	8	1	1	0	0	NA	NA	NA	NA	NA	NA	5
GC20100710	PKF	1	BW	7	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20100710	FHM	1	BW	89	11	3	1	2	NA	NA	NA	NA	NA	NA	5
GC20100710	SPD	1	BW	19	3	0	0	1	NA	NA	NA	NA	NA	NA	5
GC20100710	FMS	1	BW	1	4	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20100710	RBT	1	BW	0	0	0	1	0	NA	NA	NA	NA	NA	NA	5
GC20100710	SPD	2	BW	1	0	0	0	0	0	0	NA	NA	NA	NA	7
GC20100710	FHM	2	BW	1	0	0	0	0	0	0	NA	NA	NA	NA	7
GC20100710	HBC	2	BW	0	1	1	0	0	0	0	NA	NA	NA	NA	7
GC20100710	HBC	3	BW	1	1	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20100710	BHS	3	BW	1	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20100710	PKF	3	BW	9	3	1	0	0	NA	NA	NA	NA	NA	NA	5
GC20100710	FMS	3	BW	1	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20100710	FHM	3	BW	16	9	6	5	1	NA	NA	NA	NA	NA	NA	5
GC20100710	SPD	3	BW	6	2	1	0	0	NA	NA	NA	NA	NA	NA	5
GC20100710	PKF	4	BW	2	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20100710	FHM	4	BW	24	2	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20100710	FMS	4	BW	3	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20100710	HBC	4	BW	1	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20100710	SPD	4	BW	3	0	0	0	0	NA	NA	NA	NA	NA	NA	5
GC20100805	HBC	1	BW	4	1	0	0	0	0	0	0	0	0	NA	10
GC20100805	FHM	1	BW	41	5	8	6	6	7	4	3	1	0	NA	10
GC20100805	CRP	1	BW	1	0	0	0	0	0	0	0	0	0	NA	10
GC20100805	BHS	1	BW	0	1	0	0	0	1	4	0	0	0	NA	10
GC20100805	SPD	1	BW	1	1	0	0	2	0	0	0	0	0	NA	10
GC20100805	PKF	1	BW	0	0	0	0	1	0	1	0	1	0	NA	10
GC20100805	FMS	1	BW	0	0	0	0	0	1	2	0	0	0	NA	10
GC20100805	BBH	2	BW	1	0	0	0	0	0	NA	NA	NA	NA	NA	6
GC20100805	FMS	2	BW	0	2	0	0	0	0	NA	NA	NA	NA	NA	6
GC20100805	BHS	2	BW	3	0	1	0	0	0	NA	NA	NA	NA	NA	6
GC20100805	HBC	2	BW	1	0	0	0	0	0	NA	NA	NA	NA	NA	6
GC20100805	RBT	2	BW	0	2	1	0	0	0	NA	NA	NA	NA	NA	6
GC20100805	PKF	2	BW	1	0	0	0	0	0	NA	NA	NA	NA	NA	6
GC20100805	FHM	2	BW	7	2	1	0	0	0	NA	NA	NA	NA	NA	6
GC20100805	PKF	3	BW	1	3	0	NA	NA	NA	NA	NA	NA	NA	NA	3
