"sample_id","species_code","tot.catch","start_rm"
548028,"FMS",17,167.5
548028,"HBC",8,167.5
548028,"SPD",6,167.5
548029,"FMS",14,168.06
548029,"HBC",87,168.06
548029,"NFC",1,168.06
548029,"SPD",30,168.06
548030,"FMS",45,168.45
548030,"HBC",2,168.45
548030,"SPD",5,168.45
548031,"FMS",1,168.8
548032,"FMS",14,169.18
548032,"HBC",1,169.18
548032,"SPD",2,169.18
548033,"FHM",16,169.23
548033,"FMS",242,169.23
548033,"HBC",19,169.23
548033,"PKF",2,169.23
548033,"SPD",55,169.23
548034,"FMS",77,171.05
548034,"HBC",10,171.05
548034,"SPD",17,171.05
548035,"FMS",97,171.06
548035,"HBC",3,171.06
548035,"SPD",15,171.06
548036,"BHS",14,171.82
548036,"FHM",6,171.82
548036,"FMS",847,171.82
548036,"HBC",45,171.82
548036,"SPD",86,171.82
548036,"SUC",1,171.82
548037,"BHS",2,172.52
548037,"FHM",4,172.52
548037,"FMS",323,172.52
548037,"HBC",14,172.52
548037,"SPD",106,172.52
548038,"FMS",84,174.34
548038,"HBC",12,174.34
548038,"SPD",14,174.34
548039,"FMS",15,174.32
548039,"SPD",16,174.32
548040,"BHS",1,178.42
548040,"FMS",49,178.42
548040,"HBC",7,178.42
548040,"SPD",4,178.42
548041,"BHS",1,178.9
548041,"FMS",27,178.9
548041,"HBC",13,178.9
548041,"SPD",33,178.9
548042,"BHS",5,179.01
548042,"FMS",25,179.01
548042,"HBC",6,179.01
548042,"SPD",7,179.01
548043,"BHS",2,181.2
548043,"CRP",1,181.2
548043,"FMS",174,181.2
548043,"HBC",15,181.2
548043,"SPD",10,181.2
548044,"BHS",4,181.36
548044,"CRP",1,181.36
548044,"FHM",2,181.36
548044,"FMS",64,181.36
548044,"HBC",16,181.36
548044,"SPD",27,181.36
548045,"BHS",1,181.85
548045,"FMS",5,181.85
548045,"HBC",6,181.85
548045,"SPD",7,181.85
548046,"BHS",2,181.85
548046,"FMS",6,181.85
548046,"SPD",2,181.85
548047,"BHS",2,182.8
548047,"FMS",23,182.8
548047,"SPD",6,182.8
548048,"BHS",8,183.28
548048,"FMS",140,183.28
548048,"HBC",11,183.28
548048,"SPD",23,183.28
548049,"FMS",24,184.73
548049,"HBC",2,184.73
548049,"SPD",21,184.73
548050,"BHS",1,184.94
548050,"FMS",12,184.94
548050,"HBC",7,184.94
548051,"NFC",1,186.39
548052,"FMS",49,186.38
548052,"SPD",18,186.38
548053,"BHS",18,187.92
548053,"FHM",7,187.92
548053,"FMS",260,187.92
548053,"HBC",38,187.92
548053,"SPD",91,187.92
548054,"FMS",1,191.53
548054,"SPD",1,191.53
548055,"FMS",9,175.4
548055,"SPD",10,175.4
548056,"FMS",6,176.39
548056,"HBC",1,176.39
548056,"SPD",8,176.39
548057,"BHS",7,176.91
548057,"FMS",11,176.91
548057,"HBC",2,176.91
548057,"SPD",7,176.91
548058,"BHS",1,177.05
548058,"FMS",56,177.05
548058,"HBC",17,177.05
548058,"SPD",10,177.05
548059,"FHM",1,194.12
548059,"FMS",7,194.12
548059,"SPD",37,194.12
548060,"BHS",2,194.55
548060,"FMS",127,194.55
548060,"HBC",8,194.55
548060,"PKF",1,194.55
548060,"SPD",85,194.55
548061,"BHS",1,194.55
548061,"FMS",228,194.55
548061,"HBC",42,194.55
548061,"SPD",177,194.55
548062,"BHS",2,196.04
548062,"FMS",144,196.04
548062,"SPD",26,196.04
548063,"BHS",10,196.05
548063,"FHM",6,196.05
548063,"FMS",116,196.05
548063,"HBC",1,196.05
548063,"PKF",1,196.05
548063,"SPD",48,196.05
548064,"BHS",2,196.36
548064,"FHM",4,196.36
548064,"FMS",318,196.36
548064,"HBC",14,196.36
548064,"SPD",105,196.36
548065,"BHS",8,197.27
548065,"FHM",1,197.27
548065,"FMS",320,197.27
548065,"HBC",8,197.27
548065,"SPD",36,197.27
548066,"FHM",1,198.01
548066,"FMS",18,198.01
548066,"SPD",24,198.01
548067,"BHS",91,198.08
548067,"FHM",26,198.08
548067,"FMS",276,198.08
548067,"HBC",8,198.08
548067,"SPD",178,198.08
548067,"SUC",1,198.08
